Latitude (°N),Longitude (°E)
46.46808162,10.713319
47.06585726,12.22020939
45.85753241,6.973670104
45.52550814,7.381460288
46.51330791,10.53803274
46.41345541,10.60735507
46.77658149,10.8049867
45.81250409,6.886320482
46.49265292,10.53720792
46.5029037,10.50225057
46.40627414,10.63866207
46.96549316,11.2256402
45.89776939,7.859552267
45.92940293,7.704268973
46.21978052,10.68081722
46.46424654,10.70062407
46.49344932,10.49809453
45.33645228,7.142126657
45.47660763,7.10583419
46.16426519,10.49789911
45.8965135,7.869937138
45.96393995,7.621855581
46.7887329,10.67776506
45.957194,7.609504999
46.47075971,10.57187419
45.53477323,6.997810826
46.73319591,10.7381786
46.37376592,10.59011309
46.42295838,10.27546632
45.47247053,7.097089437
45.55624684,7.060830209
47.01965159,11.90372436
46.39053722,10.21823892
46.90390861,12.12255127
46.42470146,10.61007528
46.79775781,10.68853455
46.98262055,11.77634993
46.25520313,8.098541127
45.5611852,7.070895805
45.85064564,6.954819218
46.82869974,11.09172652
45.56879354,7.090395717
46.77915192,10.73680967
47.07300502,12.22484952
45.86052197,6.983107399
45.84154508,6.926377976
46.55096014,10.64153457
46.80146952,10.69934204
47.03308357,12.19902322
45.32603147,7.133577245
46.47505388,10.55762694
46.43550272,10.61000532
46.5262831,10.64166955
46.19979955,10.54430053
45.54896345,7.265424264
46.26330966,9.741592929
45.99139319,7.912457148
45.5184932,7.392021922
45.92128145,7.90989838
46.15444399,10.48427265
45.94826486,7.888726484
46.91681867,12.13558183
46.51276187,10.56353717
46.296991,9.720187465
46.38561866,10.53506974
46.39653712,10.54634853
45.96676738,7.66045918
46.51385881,10.46278125
47.00624327,11.86534237
46.46551206,9.280500003
45.47543684,7.220872622
45.55909222,7.279341787
45.60324955,7.26415524
45.49099134,7.235602126
46.98714688,11.81591599
45.77041938,6.81393633
46.48350533,10.7718674
46.77013184,10.86363955
46.50707192,10.78614067
46.45324362,10.51079712
46.22316763,10.59556679
45.95812306,7.8862471
46.45166509,10.53800958
46.80506283,11.04920375
46.42163397,10.28605668
45.90022244,7.368013085
46.72586925,10.97814994
45.30641679,7.124850384
47.02815274,12.19364036
46.43334266,10.12179753
45.53825529,7.407303226
47.03183077,11.92351129
45.51598226,7.253615566
46.89575434,12.03761416
46.38597213,9.426739814
46.2767601,9.762374147
46.15044499,10.59861258
46.46044485,10.69191255
45.95847921,7.499879732
47.00739147,11.88281742
45.55731969,7.29031465
45.92118133,7.577402139
46.54950372,10.65368898
46.33778355,9.916231108
45.94612422,7.479679096
46.11174483,10.60805212
46.07389707,8.032712007
46.45338912,10.55145783
45.43731202,7.117482844
46.93054117,11.20403797
45.91703671,7.293132823
46.22285152,10.58109045
45.67130091,7.021614231
46.74175201,10.72896413
45.36578089,7.166015966
45.90736937,7.415664983
46.83979656,11.0757482
45.63139698,7.021127245
46.42952032,10.11192655
47.02441381,12.15671087
45.54015521,7.3537995
46.37933329,8.328822993
46.98140183,11.71874591
46.34824798,10.51301151
45.62228358,7.468334411
45.70460671,6.835746901
46.38391785,10.61521328
46.51963655,10.54903234
46.54390219,10.63637341
45.88017335,7.018051177
46.3883641,10.6241792
45.5225268,7.048866995
46.90883369,12.12902087
45.72392744,6.814979991
46.84329016,10.70800641
46.7305913,10.72780464
46.83267381,11.08383159
45.90758483,7.727286268
45.55187388,7.359336767
45.79653574,6.818969013
45.56384523,7.287815002
46.4231432,8.317371967
47.02519223,11.91343062
46.31185522,9.729073797
46.73540917,10.99076924
45.58657283,6.984097317
45.52420432,7.151073151
45.93196285,7.48946203
46.45558022,12.26969844
46.22752793,10.62473065
46.90936923,12.08209409
45.95439999,7.519561966
46.39712836,10.43274028
